회사명,거래소코드,회계년도,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS연결)(백만원),계속영업이익(손실)(요약)(IFRS연결)(백만원)
(주)BNK금융지주,138930,2011/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,,,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1981/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1982/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1983/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1984/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1985/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1986/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1987/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1988/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1989/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1990/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1991/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1992/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1993/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1994/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1995/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1996/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1997/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1998/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,1999/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2000/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2001/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2002/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2003/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2004/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2005/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2006/12,,,,,,,,,,,,,,,
(주)DB하이텍,000990,2007/12,0,0,1.11,0.39,0,0,0.69,0.25,-682,657666,2668432,-53587,1462818,223830,-50854
(주)DB하이텍,000990,2008/12,0,0,0.57,0.13,0,0,0.35,0.08,-8646,834665,2892786,-299267,1880811,369353,-299329
(주)DB하이텍,000990,2009/12,0,0,0.81,0.2,5.02,1.24,0.42,0.1,-5361,567639,2119070,-183352,1236479,155169,-513122
(주)DB하이텍,000990,2010/12,0,0,1.71,0.72,9.28,3.88,0.94,0.39,-5435,311090,983235,-191153,620043,-133770,-313286
(주)DB하이텍,000990,2011/12,0,0,3.66,1.21,13.09,4.32,1.51,0.5,-2414,279726,890982,-97947,552216,91775,-97947
(주)DB하이텍,000990,2012/12,0,0,2.49,1.35,7.23,3.92,0.84,0.46,-799,309144,866862,-31341,590786,96783,-47726
(주)DB하이텍,000990,2013/12,0,0,3.25,1.79,14.01,7.73,0.81,0.45,-1823,222961,853635,-83047,493752,89251,-83047
(주)DB하이텍,000990,2014/12,0,0,5.25,2.02,8.22,3.17,0.69,0.26,-1450,247582,864174,-77009,567718,136905,-77009
(주)DB하이텍,000990,2015/12,6.74,1.47,3.53,0.77,5.71,1.25,1.29,0.28,3131,337757,730586,126733,666595,229679,126733
(주)DB하이텍,000990,2016/12,10.6,5.92,2.75,1.54,3.78,2.11,1.21,0.67,2034,368924,644871,88344,773140,290010,88344
(주)DB하이텍,000990,2017/12,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,1719,353663,538153,110175,679738,253567,110175
(주)DB하이텍,000990,2018/12,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,2192,383379,508142,86829,669279,215336,86829
(주)DB하이텍,000990,2019/12,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,2790,426263,444239,104637,807416,294124,104637
(주)DB하이텍,000990,2020/12,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,3814,459208,383997,166026,935920,358885,166026
(주)DB하이텍,000990,2021/12,11.12,6.84,3.3,2.03,9.01,5.54,2.9,1.78,7293,815162,443888,316892,1214682,535197,316892
(주)DB하이텍,000990,2022/12,6.81,2.77,2.43,0.99,5.22,2.13,2.27,0.92,12852,1327724,484416,558837,1675288,933218,558837
(주)HJ중공업,097230,2007/12,,,,,,,,,,2410903,3945379,28408,1218728,119347,28408
(주)HJ중공업,097230,2008/12,54.78,8.64,1.65,0.26,0,0,0.9,0.14,1331,3020408,5936270,62998,3403175,534832,62998
(주)HJ중공업,097230,2009/12,39.7,18.84,1,0.47,0,0,0.64,0.3,1086,3363933,6092886,51644,3679824,534322,51644
(주)HJ중공업,097230,2010/12,0,0,1.19,0.49,9.47,3.92,0.83,0.34,-824,2757267,5569572,-72295,3167774,325985,-72295
(주)HJ중공업,097230,2011/12,0,0,1.13,0.38,0,0,0.87,0.29,-2409,2391530,5169832,-96920,2891499,226941,-96920
(주)HJ중공업,097230,2012/12,88.04,39.68,0.62,0.28,0,0,0.58,0.26,271,2274211,4869577,-53214,2549319,191059,-53214
(주)HJ중공업,097230,2013/12,0,0,0.52,0.26,0,0,0.48,0.24,-3299,2788908,5044381,-190193,2529341,64973,-190193
(주)HJ중공업,097230,2014/12,0,0,0.68,0.2,0,0,0.67,0.19,-2771,2647534,4897208,-299811,2520325,-16934,-299811
(주)HJ중공업,097230,2015/12,0,0,0.55,0.26,6.86,3.27,0.37,0.18,-2544,2429499,4546048,-260925,3115473,111036,-260925
(주)HJ중공업,097230,2016/12,0,0,0.55,0.33,6.28,3.81,0.26,0.16,-3215,2372221,4361281,-334446,2813271,59726,-334446
(주)HJ중공업,097230,2017/12,0,0,0.99,0.54,1.5,0.82,0.32,0.17,-2820,1894161,3629457,-277978,2452314,21248,-277978
(주)HJ중공업,097230,2018/12,0,0,0,0,2.34,0.95,0.24,0.1,-9087,1720906,3441806,-1283647,1697869,140780,19245
(주)HJ중공업,097230,2019/12,0,0,3.63,0.32,6.32,0.56,0.55,0.05,-1249,1300538,2225228,306169,1628751,177484,-35341
(주)HJ중공업,097230,2020/12,11.15,3.91,2.68,0.94,3.38,1.18,0.5,0.18,919,1067516,1873852,78346,1695815,130471,78346
(주)HJ중공업,097230,2021/12,0,0,2.03,1.3,0,0,0.51,0.33,-1681,948999,1953231,-139844,1706532,-20527,-139844
(주)HJ중공업,097230,2022/12,0,0,1.84,0.7,8.4,3.22,0.39,0.15,-603,1430318,2182707,-50160,1788163,96635,-50160
(주)JB금융지주,175330,2013/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,,,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,,,,,,,,,,,,,,,
