,year,회사명,거래소코드,회계년도,PER(최고),PER(최저),1주당순이익(원)
4702,2007,삼성전자(주),005930,2006/12,,,
4703,2007,포스코홀딩스(주),005490,2006/12,,,
4704,2007,에이치디한국조선해양(주),009540,2006/12,,,
4705,2007,한국전력공사(주),015760,2006/12,,,
4706,2007,(주)국민은행,060000,2006/12,,,
4707,2007,(주)신한금융지주회사,055550,2006/12,,,
4708,2007,에스케이텔레콤(주),017670,2006/12,,,
4709,2007,엘지디스플레이(주),034220,2006/12,,,
4710,2007,현대자동차(주),005380,2006/12,,,
4711,2007,우리금융지주(주),053000,2006/12,,,
4712,2007,엘지전자(주),066570,2006/12,,,
4713,2007,(주)신세계,004170,2006/12,,,
4714,2007,(주)케이티,030200,2006/12,,,
4715,2007,두산에너빌리티(주),034020,2006/12,,,
4716,2007,(주)엘지,003550,2006/12,,,
4717,2007,롯데쇼핑(주),023530,2006/12,,,
4718,2007,삼성화재해상보험(주),000810,2006/03,,,
4719,2007,에스케이하이닉스(주),000660,2006/12,,,
4720,2007,(주)케이티앤지,033780,2006/12,,,
4721,2007,삼성물산(주),000830,2006/12,,,
4722,2007,(주)하나금융지주,086790,2006/12,,,
4723,2007,한화오션(주),042660,2006/12,,,
4724,2007,현대건설(주),000720,2006/12,,,
4725,2007,(주)한국외환은행,004940,2006/12,,,
4726,2007,에스케이(주),003600,2006/12,,,
4727,2007,삼성중공업(주),010140,2006/12,,,
4728,2007,에쓰-오일(주),010950,2006/12,,,
4729,2007,(주)대우건설,047040,2006/12,,,
4730,2007,지에스건설(주),006360,2006/12,,,
4731,2007,현대모비스(주),012330,2006/12,,,
4732,2007,중소기업은행,024110,2006/12,,,
4733,2007,에이치디씨(주),012630,2006/12,,,
4734,2007,미래에셋증권(주),037620,2006/03,,,
4735,2007,(주)엘지화학,051910,2006/12,,,
4736,2007,현대제철(주),004020,2006/12,,,
4737,2007,디엘(주),000210,2006/12,,,
4738,2007,팬오션(주),028670,2006/12,,,
4739,2007,삼성증권(주),016360,2006/03,,,
4740,2007,삼성카드(주),029780,2006/12,,,
4741,2007,(주)케이티프리텔,032390,2006/12,,,
4742,2007,미래에셋증권(주),006800,2006/03,,,
4743,2007,(주)현대미포조선,010620,2006/12,,,
4744,2007,에이치엠엠(주),011200,2006/12,,,
4745,2007,(주)케이씨씨,002380,2006/12,,,
4746,2007,(주)대한항공,003490,2006/12,,,
4747,2007,(주)지에스,078930,2006/12,,,
4748,2007,에스케이네트웍스(주),001740,2006/12,,,
4749,2007,(주)한화,000880,2006/12,,,
4750,2007,(주)강원랜드,035250,2006/12,,,
4751,2007,에이치디현대인프라코어(주),042670,2006/12,,,
4752,2007,오씨아이홀딩스(주),010060,2006/12,,,
