,year,회사명,거래소코드,회계년도,시가총액(백만원),유동자산(백만원),부채(백만원),당기순이익(백만원)
5360,2007,평산차업집단유한공사,950010,2006/09,17460.0,52122.0,45241.0,10777.0
5384,2008,삼성전자(주),005930,2007/12,66432000.987,40363068.0,37403228.0,7922981.0
5385,2008,포스코홀딩스(주),005490,2007/12,33130997.3,14291551.0,11157023.0,3677964.0
5386,2008,한국전력공사(주),015760,2007/12,18990404.2752,9055041.0,38661739.0,1467168.0
5387,2008,에스케이텔레콤(주),017670,2007/12,16969485.599,4776689.0,7361302.0,1562265.0
5388,2008,에이치디한국조선해양(주),009540,2007/12,15162000.0,14118371.0,19008901.0,1952282.0
5390,2008,(주)케이티앤지,033780,2007/12,10978486.5127,1914392.0,970875.0,646405.0
5391,2008,엘지전자(주),066570,2007/12,10819656.4872,16585639.0,21756473.0,2068698.0
5392,2008,(주)케이티,030200,2007/12,10257588.75,5383274.0,12989119.0,1170978.0
5393,2008,(주)신세계,004170,2007/12,9090761.0,798016.0,5477853.0,520834.0
5395,2008,현대자동차(주),005380,2007/12,8700920.9205,27391768.0,60133890.0,1956087.0
5396,2008,엘지디스플레이(주),034220,2007/12,7514129.7,5413207.0,5490376.0,1344027.0
5397,2008,(주)엘지,003550,2007/12,7368189.4937,23372776.0,32151615.0,3632135.0
5398,2008,SK이노베이션(주),096770,2007/12,6962656.9692,9270364.0,12779497.0,346483.0
5399,2008,에쓰-오일(주),010950,2007/12,6923841.708,7599533.0,5492628.0,746496.0
5400,2008,두산에너빌리티(주),034020,2007/12,6601562.57,6394781.0,11861223.0,545710.0
5401,2008,현대건설(주),000720,2007/12,6338006.5844,4269893.0,4611458.0,298323.0
5402,2008,네이버(주),035420,2007/12,6256601.52,509382.0,376432.0,277073.0
5403,2008,삼성물산(주),000830,2007/12,6201845.2308,6345785.0,7654006.0,675956.0
5404,2008,롯데쇼핑(주),023530,2007/12,6099108.54,2539200.0,6570340.0,754277.0
5405,2008,(주)케이티프리텔,032390,2007/12,5911806.4574,1763108.0,3164390.0,250482.0
5406,2008,현대모비스(주),012330,2007/12,5526992.5417,3816634.0,4212663.0,761403.0
5407,2008,(주)엘지화학,051910,2007/12,5341952.67,3796353.0,4506808.0,835873.0
5408,2008,삼성중공업(주),010140,2007/12,5217783.7236,6641690.0,8914406.0,485386.0
5410,2008,에이치엠엠(주),011200,2007/12,4937016.7959,1718084.0,4111741.0,195246.0
5411,2008,오씨아이홀딩스(주),010060,2007/12,4600112.22,885413.0,2104551.0,160689.0
5413,2008,한국가스공사(주),036460,2007/12,4443859.325,4859135.0,8782484.0,424544.0
5414,2008,에스케이(주),003600,2007/12,4437891.234,21184603.0,33295243.0,3167471.0
5418,2008,(주)아모레퍼시픽,090430,2007/12,3823185.246,487567.0,383538.0,177856.0
5419,2008,씨제이대한통운(주),000120,2007/12,3575728.436,398791.0,914259.0,79737.0
5421,2008,현대제철(주),004020,2007/12,3192161.7544,3540408.0,5094247.0,532003.0
5422,2008,에스케이하이닉스(주),000660,2007/12,3079338.693,4154046.0,8403970.0,363914.0
5423,2008,(주)케이씨씨,002380,2007/12,3024500.0,2620360.0,2879239.0,246595.0
5424,2008,(주)엘지생활건강,051900,2007/12,2967457.43,372248.0,809955.0,80531.0
5425,2008,지에스건설(주),006360,2007/12,2958000.0,3968127.0,4049979.0,399019.0
5426,2008,한화오션(주),042660,2007/12,2937848.1353,6485186.0,7810237.0,279476.0
5429,2008,(주)대우건설,047040,2007/12,2892383.26368,4810608.0,3750183.0,991687.0
5431,2008,(주)대한항공,003490,2007/12,2734921.978,2203431.0,12327173.0,37253.0
5432,2008,(주)현대미포조선,010620,2007/12,2700000.0,3046041.0,3954305.0,538462.0
5433,2008,삼성SDI(주),006400,2007/12,2505708.755,2204115.0,2369471.0,-603151.0
5434,2008,(주)지에스,078930,2007/12,2499423.6682,9381038.0,13281332.0,753717.0
5435,2008,삼성전기(주),009150,2007/12,2487300.0768,1121320.0,1649180.0,123514.0
5436,2008,(주)엘에스,006260,2007/12,2456860.0,3148100.0,3140161.0,361471.0
5437,2008,에이치디현대인프라코어(주),042670,2007/12,2447417.4372,1890335.0,2595156.0,199304.0
5438,2008,에이치디씨(주),012630,2007/12,2446216.641,2959203.0,2234187.0,327107.0
5440,2008,(주)두산,000150,2007/12,2386714.428,7122763.0,14018382.0,424176.0
5441,2008,한국앤컴퍼니(주),000240,2007/12,2328505.9137,1614293.0,2419935.0,159691.0
5442,2008,기아(주),000270,2007/12,2274359.48025,8050491.0,14918798.0,-172392.0
5443,2008,한화에어로스페이스(주),012450,2007/12,2194500.0,1068624.0,1130015.0,205248.0
5444,2008,(주)포스코인터내셔널,047050,2007/12,2156245.2152,1203263.0,1765099.0,97316.0
5445,2008,(주)유한양행,000100,2007/12,2116373.38,372828.0,240740.0,92073.0
5446,2008,(주)에스원,012750,2007/12,2051955.612,382796.0,208008.0,106151.0
5447,2008,에스케이네트웍스(주),001740,2007/12,2041173.1032,2709577.0,5228955.0,595252.0
5448,2008,씨제이제일제당(주),097950,2007/12,2018527.152,897158.0,2228513.0,16463.0
5449,2008,제일모직(주),001300,2007/12,2010000.0,917955.0,1100456.0,145584.0
5450,2008,코웨이(주),021240,2007/12,1983612.61345,387414.0,410900.0,116118.0
5451,2008,팬오션(주),028670,2007/12,1935063.7524,1430096.0,1207450.0,427990.0
5452,2008,롯데지주(주),004990,2007/12,1854927.0,532807.0,537983.0,109002.0
5453,2008,현대글로비스(주),086280,2007/12,1751250.0,644989.0,501300.0,81939.0
5454,2008,삼성엔지니어링(주),028050,2007/12,1740000.0,1269944.0,1043876.0,149136.0
5455,2008,동국홀딩스(주),001230,2007/12,1663073.401,3231231.0,3551667.0,230195.0
5457,2008,(주)LG데이콤,015940,2007/12,1657414.3049,501857.0,1373982.0,147177.0
5459,2008,롯데케미칼(주),011170,2007/12,1647162.0,1970181.0,1637898.0,490066.0
5460,2008,(주)유수홀딩스,000700,2007/12,1599466.1757,1899109.0,4229393.0,167836.0
5461,2008,디엘(주),000210,2007/12,1548600.0,4274389.0,3672468.0,502791.0
5462,2008,(주)농심,004370,2007/12,1487205.969,583106.0,562055.0,103385.0
5463,2008,LS일렉트릭(주),010120,2007/12,1476000.0,491540.0,517757.0,110739.0
5464,2008,(주)한화,000880,2007/12,1442955.64875,9242096.0,58090168.0,525749.0
5465,2008,(주)현대백화점,069960,2007/12,1439542.7748,937157.0,1554124.0,312734.0
5466,2008,고려아연(주),010130,2007/12,1379397.0,1602875.0,1225899.0,429538.0
5467,2008,(주)HJ중공업,097230,2007/12,1353847.4664,2410903.0,3945379.0,28408.0
5468,2008,(주)효성,004800,2007/12,1341486.781,2010773.0,5022289.0,198191.0
5472,2008,롯데칠성음료(주),005300,2007/12,1184003.271,551493.0,451781.0,63392.0
5473,2008,태광산업(주),003240,2007/12,1143461.8,1187973.0,1804575.0,39568.0
5475,2008,씨제이(주),001040,2007/12,1101723.44,2821181.0,5733177.0,107055.0
5476,2008,(주)오리온홀딩스,001800,2007/12,1086702.6375,889077.0,1070872.0,152089.0
5477,2008,(주)엔씨소프트,036570,2007/12,1076955.9648,365476.0,96811.0,45943.0
5480,2008,(주)영풍,000670,2007/12,972597.12,528482.0,806181.0,151643.0
5481,2008,동아쏘시오홀딩스(주),000640,2007/12,968908.5,299512.0,385028.0,34804.0
5482,2008,한미사이언스(주),008930,2007/12,943729.745,320634.0,339386.0,55822.0
5484,2008,(주)제일기획,030000,2007/12,897321.555,1034308.0,744127.0,59819.0
5485,2008,STX조선해양(주),067250,2007/12,896400.0,2732464.0,4338355.0,423882.0
5487,2008,대한전선(주),001440,2007/12,868361.6814,1987128.0,3208794.0,120271.0
5490,2008,한화솔루션(주),009830,2007/12,841701.066,1625503.0,3703815.0,221297.0
5492,2008,(주)아모레퍼시픽그룹,002790,2007/12,837805.29,908445.0,572668.0,175601.0
5493,2008,한온시스템(주),018880,2007/12,774010.0,590044.0,574956.0,108363.0
5494,2008,대한해운(주),005880,2007/12,760592.778,690824.0,1191863.0,380827.0
5499,2008,(주)STX,011810,2007/12,655038.9272,3862593.0,5828593.0,463902.0
5500,2008,(주)삼천리,004690,2007/12,636638.925,466520.0,407148.0,56977.0
5502,2008,금호건설(주),002990,2007/12,627230.6628,2358306.0,13222750.0,177818.0
5503,2008,아시아나항공(주),020560,2007/12,606090.77078,719673.0,3279588.0,101372.0
5504,2008,(주)에스비에스,034120,2007/12,604160.4642,471727.0,177240.0,59204.0
