,시가총액,티커,year,회사명,거래소코드,회계년도,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),유동자산(*)(요약)(IFRS연결)(백만원),부채(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원),매출총이익(손실)(요약)(IFRS연결)(백만원),계속영업이익(손실)(요약)(IFRS연결)(백만원)
0,23895910836000,005930,2000,삼성전자(주),005930,1999/12,,,,,,,,,,,,,,,
1,22555625510000,017670,2000,에스케이텔레콤(주),017670,1999/12,,,,,,,,,,,,,,,
2,20917377153000,030200,2000,(주)케이티,030200,1999/12,,,,,,,,,,,,,,,
3,15106380673600,015760,2000,한국전력공사(주),015760,1999/12,,,,,,,,,,,,,,,
4,7380767812500,005490,2000,포스코홀딩스(주),005490,1999/12,,,,,,,,,,,,,,,
5,4464239853700,023130,2000,(주)국민은행,023130,1999/12,,,,,,,,,,,,,,,
6,3628846043000,033780,2000,(주)케이티앤지,033780,1999/12,,,,,,,,,,,,,,,
7,3192141930500,000270,2000,기아(주),000270,1999/12,,,,,,,,,,,,,,,
8,3130095299800,027460,2000,(주)한국주택은행,027460,1999/12,,,,,,,,,,,,,,,
9,2771973294200,005380,2000,현대자동차(주),005380,1999/12,,,,,,,,,,,,,,,
10,2704090126400,015580,2000,(주)신한은행,015580,1999/12,,,,,,,,,,,,,,,
11,2561993772800,009150,2000,삼성전기(주),009150,1999/12,,,,,,,,,,,,,,,
12,2180411639000,006400,2000,삼성SDI(주),006400,1999/12,,,,,,,,,,,,,,,
13,1973985563900,000660,2000,에스케이하이닉스(주),000660,1999/12,,,,,,,,,,,,,,,
14,1950442119200,016360,2000,삼성증권(주),016360,1999/03,,,,,,,,,,,,,,,
15,1853660936500,002610,2000,엘지이아이(주),002610,1999/12,,,,,,,,,,,,,,,
16,1764505225800,003600,2000,에스케이(주),003600,1999/12,,,,,,,,,,,,,,,
17,1548013390000,010950,2000,에쓰-오일(주),010950,1999/12,,,,,,,,,,,,,,,
18,1499319494000,036460,2000,한국가스공사(주),036460,1999/12,,,,,,,,,,,,,,,
19,1406000000000,009540,2000,에이치디한국조선해양(주),009540,1999/12,,,,,,,,,,,,,,,
20,1364133017500,000810,2000,삼성화재해상보험(주),000810,1999/03,,,,,,,,,,,,,,,
21,1134060452050,000010,2000,(주)조흥은행,000010,1999/12,,,,,,,,,,,,,,,
22,1107915880900,003550,2000,(주)엘지,003550,1999/12,,,,,,,,,,,,,,,
23,1018114786710,010140,2000,삼성중공업(주),010140,1999/12,,,,,,,,,,,,,,,
24,846400000000,000110,2000,(주)제일은행,000110,1999/12,,,,,,,,,,,,,,,
25,828379166200,016830,2000,(주)한미은행,016830,1999/12,,,,,,,,,,,,,,,
26,800492969200,000830,2000,삼성물산(주),000830,1999/12,,,,,,,,,,,,,,,
27,787380284100,006800,2000,미래에셋증권(주),006800,1999/03,,,,,,,,,,,,,,,
28,756444534480,000030,2000,(주)우리은행,000030,1999/12,,,,,,,,,,,,,,,
29,740135456300,001740,2000,에스케이네트웍스(주),001740,1999/12,,,,,,,,,,,,,,,
30,736230025600,007360,2000,(주)하나은행,007360,1999/12,,,,,,,,,,,,,,,
31,729064350000,015940,2000,(주)LG데이콤,015940,1999/12,,,,,,,,,,,,,,,
32,723988858950,005940,2000,엔에이치투자증권(주),005940,1999/03,,,,,,,,,,,,,,,
33,667397736500,001040,2000,씨제이(주),001040,1999/12,,,,,,,,,,,,,,,
34,631851000000,004170,2000,(주)신세계,004170,1999/12,,,,,,,,,,,,,,,
35,550993830120,004940,2000,(주)한국외환은행,004940,1999/12,,,,,,,,,,,,,,,
36,544324675110,008670,2000,굿모닝신한증권(주),008670,1999/03,,,,,,,,,,,,,,,
37,495240627420,003450,2000,현대증권(주),003450,1999/03,,,,,,,,,,,,,,,
38,489395053500,002380,2000,(주)케이씨씨,002380,1999/12,,,,,,,,,,,,,,,
39,486286268000,004020,2000,현대제철(주),004020,1999/12,,,,,,,,,,,,,,,
40,472292437500,009720,2000,한국전기초자(주),009720,1999/12,,,,,,,,,,,,,,,
41,458683706750,008060,2000,(주)대덕,008060,1999/12,,,,,,,,,,,,,,,
42,454280095500,003490,2000,(주)대한항공,003490,1999/12,,,,,,,,,,,,,,,
43,439137504000,000140,2000,하이트진로홀딩스(주),000140,1999/12,,,,,,,,,,,,,,,
44,393876000000,034020,2000,두산에너빌리티(주),034020,1999/12,,,,,,,,,,,,,,,
45,393398672740,012330,2000,현대모비스(주),012330,1999/12,,,,,,,,,,,,,,,
46,391451069660,001510,2000,에스케이증권(주),001510,1999/03,,,,,,,,,,,,,,,
47,390287980800,000310,2000,해태제과(주),000310,1999/06,,,,,,,,,,,,,,,
48,383791697800,012750,2000,(주)에스원,012750,1999/12,,,,,,,,,,,,,,,
49,380203850655,000720,2000,현대건설(주),000720,1999/12,,,,,,,,,,,,,,,
50,376753302800,009050,2000,대한알루미늄공업(주),009050,1999/12,,,,,,,,,,,,,,,
51,342000000000,004370,2000,(주)농심,004370,1999/06,,,,,,,,,,,,,,,
52,333270000000,006260,2000,(주)엘에스,006260,1999/12,,,,,,,,,,,,,,,
53,330885000000,012450,2000,한화에어로스페이스(주),012450,1999/12,,,,,,,,,,,,,,,
54,324454227200,001830,2000,동부일렉트로닉스(주),001830,1999/12,,,,,,,,,,,,,,,
55,314373348450,011200,2000,에이치엠엠(주),011200,1999/12,,,,,,,,,,,,,,,
56,309814902000,000150,2000,(주)두산,000150,1999/12,,,,,,,,,,,,,,,
57,304192038000,012630,2000,에이치디씨(주),012630,1999/12,,,,,,,,,,,,,,,
58,292718400000,003540,2000,대신증권(주),003540,1999/03,,,,,,,,,,,,,,,
59,287500000000,001300,2000,제일모직(주),001300,1999/12,,,,,,,,,,,,,,,
60,285302238000,030000,2000,(주)제일기획,030000,1999/12,,,,,,,,,,,,,,,
61,282240812000,029530,2000,(주)신도리코,029530,1999/12,,,,,,,,,,,,,,,
62,271897600000,010520,2000,현대하이스코(주),010520,1999/12,,,,,,,,,,,,,,,
63,263166777440,005890,2000,동원증권(주),005890,1999/03,,,,,,,,,,,,,,,
64,257321337120,000200,2000,대우중공업(주),000200,1999/12,,,,,,,,,,,,,,,
65,252854612500,000210,2000,디엘(주),000210,1999/12,,,,,,,,,,,,,,,
66,252658220415,000240,2000,한국앤컴퍼니(주),000240,1999/12,,,,,,,,,,,,,,,
67,247857842200,000700,2000,(주)유수홀딩스,000700,1999/12,,,,,,,,,,,,,,,
68,244800000000,006360,2000,지에스건설(주),006360,1999/12,,,,,,,,,,,,,,,
69,234780000000,004000,2000,롯데정밀화학(주),004000,1999/12,,,,,,,,,,,,,,,
70,229555945540,003480,2000,(주)한진중공업홀딩스,003480,1999/12,,,,,,,,,,,,,,,
71,229193549600,030210,2000,다올투자증권(주),030210,1999/12,,,,,,,,,,,,,,,
72,227821440000,002790,2000,(주)아모레퍼시픽그룹,002790,1999/12,,,,,,,,,,,,,,,
73,220780000000,005810,2000,(주)풍산홀딩스,005810,1999/12,,,,,,,,,,,,,,,
74,218080120000,000100,2000,(주)유한양행,000100,1999/12,,,,,,,,,,,,,,,
75,214174500000,010130,2000,고려아연(주),010130,1999/12,,,,,,,,,,,,,,,
76,213768713730,009830,2000,한화솔루션(주),009830,1999/12,,,,,,,,,,,,,,,
77,212160000000,001120,2000,(주)엘엑스인터내셔널,001120,1999/12,,,,,,,,,,,,,,,
78,211918600000,018880,2000,한온시스템(주),018880,1999/12,,,,,,,,,,,,,,,
79,210989300000,003240,2000,태광산업(주),003240,1999/12,,,,,,,,,,,,,,,
80,208890466650,000880,2000,(주)한화,000880,1999/12,,,,,,,,,,,,,,,
81,202311000000,011170,2000,롯데케미칼(주),011170,1999/12,,,,,,,,,,,,,,,
