,rtn_portfolio,year,event,rtn_kospi
2011-12-14,-0.011917651767573223,2011,before,-0.3385115498108049
2011-12-15,-0.020104609455633155,2011,before,-2.0799361942369754
2011-12-16,0.022122797747412232,2011,before,1.1461635499685263
2011-12-19,-0.02203739761481139,2011,before,-3.425612978798054
2011-12-20,0.035940465409669574,2011,before,0.9077456284295904
2011-12-21,0.0067363377085133125,2011,before,3.086900258619729
2011-12-22,0.004588074764943444,2011,before,-0.0497748837270717
2011-12-23,-0.0005047094352476759,2011,santa,1.0679343635440874
2011-12-26,-0.00964295259424486,2011,santa,-0.563405474251033
2011-12-27,-0.014288890954546857,2011,santa,-0.7906464171208549
2011-12-28,0.00983326151101674,2011,santa,-0.9174723528989182
2011-12-29,0.00776610924468439,2011,santa,0.033970101628733
2012-01-02,-0.003617669268503448,2011,santa,0.0345068238731816
2012-01-03,0.023206913107777945,2011,santa,2.685109763827098
2012-12-11,0.009585076196005354,2012,before,0.3678286218712134
2012-12-12,-0.009092443039603012,2012,before,0.5507399047120609
2012-12-13,0.012842476506544472,2012,before,1.3834932438160807
2012-12-14,-0.005762716230410382,2012,before,-0.3859644588927513
2012-12-17,-0.02600266443507006,2012,before,-0.599992608622657
2012-12-18,-0.0027824770909367267,2012,before,0.5052781698396736
2012-12-20,-0.006851041907280417,2012,before,0.3216128870052959
2012-12-21,0.00014929810569278064,2012,santa,-0.954236361824834
2012-12-24,-0.005542153598408314,2012,santa,0.0706871427619493
2012-12-26,0.0043030941520360196,2012,santa,0.0216999385712401
2012-12-27,-0.0018472679023884336,2012,santa,0.2572821584531537
2012-12-28,-0.006561887305098966,2012,santa,0.4880908426472485
2013-01-02,0.0004406879423212715,2012,santa,1.7050111877663363
2013-01-03,-0.014141155575547492,2012,santa,-0.5755473165656277
2013-12-12,-0.004883182813089523,2013,before,-0.5075869270461442
2013-12-13,0.00581482291694889,2013,before,-0.2550913596641169
2013-12-16,-0.006743701918909074,2013,before,-0.0896632925084905
2013-12-17,-0.005892814495176875,2013,before,0.2340446046030564
2013-12-18,-0.0037049350323567695,2013,before,0.4522477383887224
2013-12-19,0.014517641512897606,2013,before,0.0516562357873562
2013-12-20,-0.0029215703272903594,2013,before,0.3897426708537876
2013-12-23,0.0074726266674168965,2013,santa,0.6826853167202662
2013-12-24,0.016234631917739314,2013,santa,0.2353635471857629
2013-12-26,0.005112189420285303,2013,santa,-0.1144048996692959
2013-12-27,0.009923617299378974,2013,santa,0.1490511877142442
2013-12-30,-0.003739685541906061,2013,santa,0.452480991213755
2014-01-02,-0.02152121519756936,2013,santa,-2.1950552946953583
2014-01-03,-0.0028004136874501097,2013,santa,-1.0700505484877
2014-12-12,0.008243029898077129,2014,before,0.2671408704258748
2014-12-15,0.008598968491839973,2014,before,-0.0702486646465105
2014-12-16,0.004477991111927058,2014,before,-0.8451530230035864
2014-12-17,0.001491295710350018,2014,before,-0.2084926288092092
2014-12-18,-0.010815437659772227,2014,before,-0.1399900077803662
2014-12-19,0.021399602139043634,2014,before,1.7117249258893352
2014-12-22,0.007605802768345159,2014,before,0.6808368367243967
2014-12-23,-0.0009284970576499703,2014,santa,-0.2109996086829491
2014-12-24,-0.0010684576745078737,2014,santa,0.3914330818589162
2014-12-26,-0.0014509711365629486,2014,santa,0.0796281145062138
2014-12-29,-0.010458840733360127,2014,santa,-1.0420113579977408
2014-12-30,-0.01299228905086051,2014,santa,-0.6364580220804994
2015-01-02,0.016975598235791915,2014,santa,0.5664038640592395
2015-01-05,0.015834246096132525,2014,santa,-0.5549065494586114
2015-12-14,-0.022496347486662783,2015,before,-1.0674245815112893
2015-12-15,0.0023601031362079847,2015,before,0.2671423969845321
2015-12-16,0.013550541731466893,2015,before,1.884667339021617
2015-12-17,0.016164706209679424,2015,before,0.4346469187225921
2015-12-18,0.01114557424141446,2015,before,-0.1334715919722784
2015-12-21,0.00804028062584624,2015,before,0.2971668021788165
2015-12-22,0.005100969904477293,2015,before,0.5739034380231933
2015-12-23,-0.005090042936604943,2015,santa,0.3342389646249888
2015-12-24,0.01004570610507085,2015,santa,-0.4286644998873434
2015-12-28,0.0016791020769109655,2015,santa,-1.3357428726397558
2015-12-29,0.020236752611648687,2015,santa,0.1145586149545296
2015-12-30,-0.0016083857380903084,2015,santa,-0.2542833963620095
2016-01-04,-0.016313657265788373,2015,santa,-2.1694707902856103
2016-01-05,0.00026424940784548973,2015,santa,0.613418013266176
2016-12-14,-0.010217414703619889,2016,before,0.0437143123692473
2016-12-15,0.006638150299854335,2016,before,-0.0107994473703465
2016-12-16,0.0013972274847348129,2016,before,0.2744686496601645
2016-12-19,-0.010092775752309434,2016,before,-0.1885172949480651
2016-12-20,0.007526169556140444,2016,before,0.1741534609324802
2016-12-21,0.005350565056949908,2016,before,-0.194911730166214
2016-12-22,0.006461606134598175,2016,before,-0.1094221923635951
2016-12-23,-0.002366243999882424,2016,santa,0.0083529715111607
2016-12-26,0.01352649381351247,2016,santa,0.0908677029202387
2016-12-27,-0.008122217543837582,2016,santa,0.2169080576769788
2016-12-28,0.01146691751423389,2016,santa,-0.8657483623048856
2016-12-29,-0.002214215100668816,2016,santa,0.0973070112782803
