회사명,거래소코드,회계년도,1주당순이익(IFRS)(원),PER(최고)(IFRS),PER(최저)(IFRS),유동자산(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS)(백만원)
(주)BNK금융지주,138930,2011/06,,,,,
(주)BNK금융지주,138930,2012/06,,,,,
(주)BNK금융지주,138930,2013/06,,,,,
(주)BNK금융지주,138930,2014/06,,,,,
(주)BNK금융지주,138930,2015/06,,,,,
(주)BNK금융지주,138930,2016/06,,,,,
(주)BNK금융지주,138930,2017/06,,,,,
(주)BNK금융지주,138930,2018/06,,,,,
(주)BNK금융지주,138930,2019/06,,,,,
(주)BNK금융지주,138930,2020/06,,,,,
(주)BNK금융지주,138930,2021/06,,,,,
(주)BNK금융지주,138930,2022/06,,,,,
(주)BNK금융지주,138930,2023/06,,,,,
(주)DB하이텍,000990,2000/06,,,,,
(주)DB하이텍,000990,2001/06,,,,,
(주)DB하이텍,000990,2002/06,,,,,
(주)DB하이텍,000990,2003/06,,,,,
(주)DB하이텍,000990,2004/06,,,,,
(주)DB하이텍,000990,2005/06,,,,,
(주)DB하이텍,000990,2006/06,,,,,
(주)DB하이텍,000990,2007/06,-343,0,0,586586,2527896
(주)DB하이텍,000990,2008/06,719,33.7,10.83,759471,2447532
(주)DB하이텍,000990,2009/06,-3062,0,0,580420,2274273
(주)DB하이텍,000990,2010/06,-1280,0,0,341222,1403499
(주)DB하이텍,000990,2011/06,-274,0,0,427809,977334
(주)DB하이텍,000990,2012/06,-589,0,0,321451,920387
(주)DB하이텍,000990,2013/06,-649,0,0,283769,915512
(주)DB하이텍,000990,2014/06,-470,0,0,239662,867594
(주)DB하이텍,000990,2015/06,2144,8.35,1.82,278242,793354
(주)DB하이텍,000990,2016/06,1313,16.41,7.66,284739,651950
(주)DB하이텍,000990,2017/06,1272,18.97,11.94,333217,572178
(주)DB하이텍,000990,2018/06,1077,21.49,10.77,401861,541387
(주)DB하이텍,000990,2019/06,1143,17.76,8.95,446816,543623
(주)DB하이텍,000990,2020/06,2525,13.44,4.85,395808,383174
(주)DB하이텍,000990,2021/06,2457,30.98,11.78,536711,360369
(주)DB하이텍,000990,2022/06,6803,12.86,7.41,1059406,430049
(주)DB하이텍,000990,2023/06,3569,24.31,10.12,1021834,282585
(주)JB금융지주,175330,2014/06,,,,,
(주)JB금융지주,175330,2015/06,,,,,
(주)JB금융지주,175330,2016/06,,,,,
(주)JB금융지주,175330,2017/06,,,,,
(주)JB금융지주,175330,2018/06,,,,,
(주)JB금융지주,175330,2019/06,,,,,
(주)JB금융지주,175330,2020/06,,,,,
(주)JB금융지주,175330,2021/06,,,,,
(주)JB금융지주,175330,2022/06,,,,,
(주)JB금융지주,175330,2023/06,,,,,
(주)KB금융지주,105560,2009/06,,,,,
(주)KB금융지주,105560,2010/06,,,,,
(주)KB금융지주,105560,2011/06,,,,,
(주)KB금융지주,105560,2012/06,,,,,
(주)KB금융지주,105560,2013/06,,,,,
(주)KB금융지주,105560,2014/06,,,,,
(주)KB금융지주,105560,2015/06,,,,,
(주)KB금융지주,105560,2016/06,,,,,
(주)KB금융지주,105560,2017/06,,,,,
(주)KB금융지주,105560,2018/06,,,,,
(주)KB금융지주,105560,2019/06,,,,,
(주)KB금융지주,105560,2020/06,,,,,
(주)KB금융지주,105560,2021/06,,,,,
(주)KB금융지주,105560,2022/06,,,,,
(주)KB금융지주,105560,2023/06,,,,,
(주)강원랜드,035250,2002/06,,,,,
(주)강원랜드,035250,2003/06,,,,,
(주)강원랜드,035250,2004/06,,,,,
(주)강원랜드,035250,2005/06,,,,,
(주)강원랜드,035250,2006/06,,,,,
(주)강원랜드,035250,2007/06,791,29.01,19.81,703716,399822
(주)강원랜드,035250,2008/06,873,32.77,22.25,436753,448420
(주)강원랜드,035250,2009/06,961,27.15,9.88,620277,378519
(주)강원랜드,035250,2010/06,1088,18.61,14.52,816284,315427
(주)강원랜드,035250,2011/06,993,33.23,18.73,868045,320335
(주)강원랜드,035250,2012/06,895,37.49,27.54,1017003,362816
(주)강원랜드,035250,2013/06,856,45.61,27.49,1022085,449934
(주)강원랜드,035250,2014/06,1049,35.21,25.9,1338347,532941
(주)강원랜드,035250,2015/06,1148,38.38,26.66,1652124,649479
(주)강원랜드,035250,2016/06,1315,36.84,29.54,1829527,664921
(주)강원랜드,035250,2017/06,1184,37.66,28.88,2038416,529772
(주)강원랜드,035250,2018/06,916,45.56,29.66,1973560,581162
(주)강원랜드,035250,2019/06,757,48.19,35.29,2005700,617644
(주)강원랜드,035250,2020/06,-998,0,0,1371917,587138
(주)강원랜드,035250,2021/06,-91,0,0,1654320,428004
(주)강원랜드,035250,2022/06,153,204.89,149.61,1804260,522301
(주)강원랜드,035250,2023/06,950,29.98,18.77,824160,592369
(주)녹십자,006280,2000/06,,,,,
(주)녹십자,006280,2001/06,,,,,
(주)녹십자,006280,2002/06,,,,,
(주)녹십자,006280,2003/06,,,,,
(주)녹십자,006280,2004/06,,,,,
(주)녹십자,006280,2005/06,,,,,
(주)녹십자,006280,2006/06,,,,,
(주)녹십자,006280,2007/06,2709,29.14,15.01,209406,179030
(주)녹십자,006280,2008/06,3294,31.08,21.03,244515,212762
(주)녹십자,006280,2009/06,2496,45.76,31.36,325209,297842
(주)녹십자,006280,2010/06,9051,24.42,10.51,427463,252378
(주)녹십자,006280,2011/06,2283,73.8,49.56,464527,194618
(주)녹십자,006280,2012/06,2555,72.95,44.71,440178,187499
(주)녹십자,006280,2013/06,2971,58.19,38.08,520001,222104
(주)녹십자,006280,2014/06,1843,76.5,64.43,543130,303338
(주)녹십자,006280,2015/06,3224,87.76,36.52,708125,418172
(주)녹십자,006280,2016/06,2029,137.49,80.95,726764,462622
(주)녹십자,006280,2017/06,2460,79.51,55.58,788380,523433
(주)녹십자,006280,2018/06,1895,140.52,91.88,810297,530286
(주)녹십자,006280,2019/06,186,1154.46,653,825440,616402
(주)녹십자,006280,2020/06,1158,168.04,85.7,837943,787829
(주)녹십자,006280,2021/06,1535,358.85,98.72,904093,787902
(주)녹십자,006280,2022/06,2058,198.02,75.38,801752,698327
(주)녹십자,006280,2023/06,-420,0,0,832561,802218
(주)녹십자홀딩스,005250,2000/06,,,,,
(주)녹십자홀딩스,005250,2001/06,,,,,
(주)녹십자홀딩스,005250,2002/06,,,,,
(주)녹십자홀딩스,005250,2003/06,,,,,
(주)녹십자홀딩스,005250,2004/06,,,,,
