날짜,시가총액,거래량,거래대금,상장주식수,symbol
2021-09-30,1.02533E+13,27399565,2.99395E+12,88773116,329180
2021-10-31,1.03865E+13,9300996,1.00652E+12,88773116,329180
2021-11-30,9.45434E+12,4754488,5.33132E+11,88773116,329180
2021-12-31,8.4512E+12,7197714,7.04289E+11,88773116,329180
2022-01-31,8.81517E+12,6145623,6.44775E+11,88773116,329180
2022-02-28,9.72066E+12,3428615,3.546E+11,88773116,329180
2022-03-31,1.06084E+13,6197847,7.02217E+11,88773116,329180
2022-04-30,1.24282E+13,6111256,8.47887E+11,88773116,329180
2022-05-31,1.0564E+13,10962724,1.33653E+12,88773116,329180
2022-06-30,1.26946E+13,5411797,7.21049E+11,88773116,329180
2022-07-31,1.10966E+13,4718739,5.84883E+11,88773116,329180
2022-08-31,1.27389E+13,5344513,7.42195E+11,88773116,329180
2022-09-30,1.02089E+13,6012231,7.41797E+11,88773116,329180
2022-10-31,9.67627E+12,4877992,5.48058E+11,88773116,329180
2022-11-30,1.05196E+13,3820413,4.36569E+11,88773116,329180
2022-12-31,1.02977E+13,2822234,3.34893E+11,88773116,329180
2023-01-31,9.83606E+12,3786686,4.14098E+11,88773116,329180
2023-02-28,9.44546E+12,3454238,3.78027E+11,88773116,329180
2023-03-31,8.87731E+12,5189869,5.12443E+11,88773116,329180
2023-04-30,9.72953E+12,3975037,4.1826E+11,88773116,329180
2023-05-31,1.03066E+13,3593105,4.14203E+11,88773116,329180
2023-06-30,1.16914E+13,3674669,4.63317E+11,88773116,329180
2023-07-31,1.24016E+13,3319751,4.62571E+11,88773116,329180
2023-08-31,1.16115E+13,2391241,3.08975E+11,88773116,329180
2023-09-30,1.07593E+13,1325361,1.6718E+11,88773116,329180
2023-10-31,9.06374E+12,2133361,2.39347E+11,88773116,329180
2023-11-30,1.11144E+13,2192118,2.53495E+11,88773116,329180
2023-12-31,1.14517E+13,2182813,2.73659E+11,88773116,329180
2011-01-31,1.5985E+12,113451435,2.9438E+12,69500000,82740
2011-02-28,1.22668E+12,24835107,4.78282E+11,69500000,82740
2011-03-31,1.50815E+12,24807482,5.01204E+11,69500000,82740
2011-04-30,1.46298E+12,31484423,7.13354E+11,69500000,82740
2011-05-31,1.31355E+12,11094500,2.18964E+11,69500000,82740
2011-06-30,1.44908E+12,12227048,2.47732E+11,69500000,82740
2011-07-31,1.42823E+12,22127109,4.99913E+11,69500000,82740
2011-08-31,1.12938E+12,18270036,3.02342E+11,69500000,82740
2011-09-30,9.13925E+11,8876954,1.31092E+11,69500000,82740
2011-10-31,9.90375E+11,10051561,1.33871E+11,69500000,82740
2011-11-30,9.2435E+11,9468336,1.31622E+11,69500000,82740
2011-12-31,8.16625E+11,5062819,65097110250,69500000,82740
2012-01-31,9.174E+11,8606478,1.06877E+11,69500000,82740
2012-02-29,1.00428E+12,15773536,2.30171E+11,69500000,82740
2012-03-31,8.65275E+11,7401932,97491874450,69500000,82740
2012-04-30,8.6875E+11,4663898,58549764750,69500000,82740
2012-05-31,7.2975E+11,5663473,64380714450,69500000,82740
2012-06-30,7.367E+11,6895585,72491805930,69500000,82740
2012-07-31,7.05425E+11,4264692,43842294640,69500000,82740
2012-08-31,7.12375E+11,4188688,44782068050,69500000,82740
2012-09-30,7.089E+11,3968756,41851910800,69500000,82740
2012-10-31,5.977E+11,3928498,37216075060,69500000,82740
2012-11-30,5.6434E+11,3718962,29596487900,69500000,82740
2012-12-31,5.977E+11,2999377,25159063850,69500000,82740
2013-01-31,5.62255E+11,2953507,25062367140,69500000,82740
2013-02-28,5.56E+11,2522133,19624618840,69500000,82740
2013-03-31,6.2272E+11,6961357,61030666140,69500000,82740
2013-04-30,5.99785E+11,6518981,53406126120,69500000,82740
2013-05-31,5.92835E+11,3739639,32126167210,69500000,82740
2013-06-30,5.004E+11,3298777,25472678660,69500000,82740
2013-07-31,5.6295E+11,6204106,46457842890,69500000,82740
2013-08-31,5.56E+11,3380128,26925423450,69500000,82740
2013-09-30,6.60945E+11,12430933,1.16254E+11,69500000,82740
2013-10-31,6.5608E+11,12505953,1.25629E+11,69500000,82740
2013-11-30,6.6164E+11,7189288,68818649460,69500000,82740
2013-12-31,6.15075E+11,4750130,42361305200,69500000,82740
2014-01-31,5.62255E+11,4702636,38745596450,69500000,82740
2014-02-28,5.83105E+11,2834994,22817746050,69500000,82740
2014-03-31,6.59555E+11,5388785,48372638020,69500000,82740
2014-04-30,6.02565E+11,4442987,41960663000,69500000,82740
2014-05-31,6.45655E+11,4909728,41495581360,69500000,82740
2014-06-30,5.80325E+11,3471237,31140752090,69500000,82740
2014-07-31,5.7685E+11,4686057,38643640980,69500000,82740
2014-08-31,5.41405E+11,2442632,19196873100,69500000,82740
2014-09-30,5.1013E+11,1773263,13485709590,69500000,82740
2014-10-31,4.27425E+11,2983448,19582158460,69500000,82740
2014-11-30,4.66345E+11,3007919,19420664850,69500000,82740
2014-12-31,4.41325E+11,3833670,23281709320,69500000,82740
2015-01-31,5.45575E+11,5125095,35760597080,69500000,82740
2015-02-28,5.24725E+11,4033438,30117233980,69500000,82740
2015-03-31,4.77465E+11,4342216,31175171040,69500000,82740
2015-04-30,4.8372E+11,4247211,30221284260,69500000,82740
2015-05-31,4.031E+11,2940124,18565075620,69500000,82740
2015-06-30,3.9059E+11,2984619,16862706880,69500000,82740
2015-07-31,3.6001E+11,4255280,23005245690,69500000,82740
2015-08-31,3.17615E+11,2616436,12278929120,69500000,82740
2015-09-30,3.0997E+11,2711175,12459884710,69500000,82740
2015-10-31,2.6688E+11,16264331,65589728220,69500000,82740
2015-11-30,2.51243E+11,4759326,17512714435,69500000,82740
2015-12-31,2.22748E+11,3786609,12630710055,69500000,82740
2016-01-31,1.7792E+11,16770390,43053506845,69500000,82740
2016-02-29,2.22748E+11,10396695,30545262355,69500000,82740
2016-03-31,2.39775E+11,13484715,47108289000,69500000,82740
2016-04-30,2.99198E+11,27873097,1.20118E+11,69500000,82740
2016-05-31,2.40818E+11,35143981,1.33212E+11,69500000,82740
2016-06-30,2.50895E+11,20517624,74732504510,69500000,82740
2016-07-31,3.14488E+11,30063432,1.29269E+11,69500000,82740
2016-08-31,3.10318E+11,17205580,79791401505,69500000,82740
2016-09-30,2.94333E+11,11087324,49823031805,69500000,82740
2016-10-31,2.45335E+11,15744079,57853225880,69500000,82740
2016-11-30,2.1128E+11,21517921,78817176010,69500000,82740
2016-12-31,2.28308E+11,6430772,20713813185,69500000,82740
2017-01-31,2.25528E+11,7005066,24200823695,69500000,82740
2017-02-28,2.23095E+11,5503564,17711171845,69500000,82740
2017-03-31,2.40818E+11,15849314,55796023705,69500000,82740
2017-04-30,2.63753E+11,10801990,38134138370,69500000,82740
2017-05-31,2.77305E+11,16174103,64797745565,69500000,82740
2017-06-30,2.9468E+11,14946662,64744993285,69500000,82740
2017-07-31,2.86688E+11,10188605,42637266670,69500000,82740
2017-08-31,2.91205E+11,11241977,46506556075,69500000,82740
2017-09-30,2.77305E+11,8711202,35963721065,69500000,82740
2017-10-31,2.9329E+11,6037993,23819372735,69500000,82740
2017-11-30,3.4611E+11,22062892,1.0401E+11,69500000,82740
2017-12-31,2.56108E+11,12678161,54723983375,69500000,82740
2018-01-31,3.1136E+11,9542634,39990822860,69500000,82740
2018-02-28,2.99198E+11,8533827,35044236145,69500000,82740
2018-03-31,4.0032E+11,43908596,2.40731E+11,69500000,82740
2018-04-30,4.3646E+11,11398330,66576870060,69500000,82740
2018-05-31,4.96925E+11,11458755,78670203050,69500000,82740
2018-06-30,1.3706E+11,5764955,24187713500,32947142,82740
2018-07-31,1.2767E+11,2566920,9848387885,32947142,82740
