회사,amount,년도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
회사명,거래소코드,항목,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
(주)BNK금융지주,138930,종가(원),,,,,,,,,,,,11050,13200,16000,14500,8420,8680,9420,7330,7660,5680,8400,6500,
(주)DB하이텍,000990,종가(원),7000,7020,5680,5900,13200,16700,20200,9640,3780,7070,10800,7250,6330,7530,4615,14300,15900,12000,10850,27600,51000,72700,37150,
(주)HJ중공업,097230,종가(원),,,,,,,,68900,28600,22650,37800,18550,12500,12050,4445,3900,3365,3310,1655,4985,7320,8040,3915,
(주)JB금융지주,175330,종가(원),,,,,,,,,,,,,,6360,6090,5500,5780,6070,5700,5490,5640,8350,7890,
(주)KB금융지주,105560,종가(원),,,,,,,,,33700,59700,60000,36300,37900,42250,36150,33150,42800,63400,46500,47650,43400,55000,48500,
(주)MH에탄올,023150,종가(원),13000,7630,6800,10500,11900,3860,4265,5550,5800,5550,2840,2730,2765,2990,7440,8760,7900,6340,5890,6140,8410,10200,7610,
(주)SH에너지화학,002360,종가(원),585,4310,4650,3005,2500,2115,4375,8270,420,515,386,316,991,724,1710,1440,1575,1405,1100,1020,835,973,821,
(주)SIMPAC,009160,종가(원),1110,5260,3410,4090,465,1515,2280,3110,2525,3080,4070,4930,7620,6960,5120,5600,4740,4130,2440,2945,2470,6410,4685,
(주)SNT에너지,100840,종가(원),,,,,,,,,18000,35000,18050,17600,16400,16700,15350,29750,19200,16100,11050,19800,15650,18550,18650,
(주)SNT홀딩스,036530,종가(원),,,11800,9540,10600,27950,25600,33700,5720,16250,14950,12600,9730,16250,19600,29350,15850,15750,13000,15450,14900,17600,15700,
(주)STX,011810,종가(원),1365,3565,3960,9150,6820,12200,17000,83500,16400,16800,28500,11550,8400,2580,375,3435,1660,23850,11750,8010,5600,4100,5500,
(주)TCC스틸,002710,종가(원),7010,8600,8800,8850,11000,19700,18000,25650,11950,4905,5000,5140,4615,3480,2650,2180,2465,1890,2000,2720,5290,9680,9350,
(주)강원랜드,035250,종가(원),,,,14200,13450,20550,20200,24600,13650,16500,27950,27200,29250,30950,30400,38400,35750,34800,32000,29600,23500,24050,23200,
(주)갤럭시아에스엠,011420,종가(원),4600,4350,2650,2095,1430,1885,8300,6250,1660,3750,1990,1715,1600,1880,1680,3455,2125,2935,1660,1485,1430,3055,1700,
(주)경농,002100,종가(원),10500,10500,10450,8730,9880,6620,6050,4850,3415,4280,3785,3005,3195,3545,4670,5090,5800,6010,10800,11350,12000,12250,10100,
(주)경동나비엔,009450,종가(원),8900,15300,19350,15100,12300,18450,23500,23250,18200,32350,29150,6000,11700,17450,29000,31250,43050,51300,41550,46600,52100,54900,33800,
(주)경동도시가스,267290,종가(원),,,,,,,,,,,,,,,,,,36250,33200,21250,18600,22600,25300,
