회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),부채(*)(IFRS)(천원),PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),1주당순이익(IFRS)(원),당기순이익(순손실)(연결)(천원)
(주)BNK금융지주,138930,2011/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2012/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2013/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/06,,,,,,,,,,,,
(주)BNK금융지주,138930,2023/06,,,,,,,,,,,,
(주)DB하이텍,000990,2000/06,,,,,,,,,,,,
(주)DB하이텍,000990,2001/06,,,,,,,,,,,,
(주)DB하이텍,000990,2002/06,,,,,,,,,,,,
(주)DB하이텍,000990,2003/06,,,,,,,,,,,,
(주)DB하이텍,000990,2004/06,,,,,,,,,,,,
(주)DB하이텍,000990,2005/06,,,,,,,,,,,,
(주)DB하이텍,000990,2006/06,,,,,,,,,,,,
흥아해운(주),003280,2006/06,,,,,,,,,,,,
흥아해운(주),003280,2005/06,,,,,,,,,,,,
흥아해운(주),003280,2004/06,,,,,,,,,,,,
흥아해운(주),003280,2003/06,,,,,,,,,,,,
흥아해운(주),003280,2002/06,,,,,,,,,,,,
흥아해운(주),003280,2001/06,,,,,,,,,,,,
흥아해운(주),003280,2000/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2023/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2022/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2021/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2020/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2019/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2018/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2017/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2016/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2015/06,,,,,,,,,,,,
흥국화재해상보험(주),000540,2013/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2012/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2011/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2010/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2009/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2008/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2007/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2006/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2005/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2004/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2003/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2002/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2001/09,,,,,,,,,,,,
흥국화재해상보험(주),000540,2000/09,,,,,,,,,,,,
(주)한솔홈데코,025750,2002/06,,,,,,,,,,,,
고려아연(주),010130,2000/06,,,,,,,,,,,,
고려아연(주),010130,2001/06,,,,,,,,,,,,
(주)JB금융지주,175330,2014/06,,,,,,,,,,,,
(주)JB금융지주,175330,2015/06,,,,,,,,,,,,
(주)JB금융지주,175330,2016/06,,,,,,,,,,,,
(주)JB금융지주,175330,2017/06,,,,,,,,,,,,
(주)JB금융지주,175330,2018/06,,,,,,,,,,,,
(주)JB금융지주,175330,2019/06,,,,,,,,,,,,
(주)JB금융지주,175330,2020/06,,,,,,,,,,,,
(주)JB금융지주,175330,2021/06,,,,,,,,,,,,
(주)JB금융지주,175330,2022/06,,,,,,,,,,,,
(주)JB금융지주,175330,2023/06,,,,,,,,,,,,
(주)KB금융지주,105560,2009/06,,,,,,,,,,,,
(주)KB금융지주,105560,2010/06,,,,,,,,,,,,
(주)KB금융지주,105560,2011/06,,,,,,,,,,,,
(주)KB금융지주,105560,2012/06,,,,,,,,,,,,
(주)KB금융지주,105560,2013/06,,,,,,,,,,,,
(주)KB금융지주,105560,2014/06,,,,,,,,,,,,
(주)KB금융지주,105560,2015/06,,,,,,,,,,,,
(주)KB금융지주,105560,2016/06,,,,,,,,,,,,
(주)KB금융지주,105560,2017/06,,,,,,,,,,,,
(주)KB금융지주,105560,2018/06,,,,,,,,,,,,
(주)KB금융지주,105560,2019/06,,,,,,,,,,,,
(주)KB금융지주,105560,2020/06,,,,,,,,,,,,
(주)KB금융지주,105560,2021/06,,,,,,,,,,,,
(주)KB금융지주,105560,2022/06,,,,,,,,,,,,
(주)KB금융지주,105560,2023/06,,,,,,,,,,,,
(주)MH에탄올,023150,2000/06,,,,,,,,,,,,
(주)MH에탄올,023150,2001/06,,,,,,,,,,,,
(주)MH에탄올,023150,2002/06,,,,,,,,,,,,
(주)MH에탄올,023150,2003/06,,,,,,,,,,,,
(주)MH에탄올,023150,2004/06,,,,,,,,,,,,
(주)MH에탄올,023150,2005/06,,,,,,,,,,,,
(주)MH에탄올,023150,2006/06,,,,,,,,,,,,
(주)콤텍시스템,031820,2002/06,,,,,,,,,,,,
(주)한솔홈데코,025750,2003/06,,,,,,,,,,,,
(주)한솔홈데코,025750,2004/06,,,,,,,,,,,,
(주)한솔홈데코,025750,2005/06,,,,,,,,,,,,
(주)한솔홈데코,025750,2006/06,,,,,,,,,,,,
고려아연(주),010130,2002/06,,,,,,,,,,,,
고려아연(주),010130,2003/06,,,,,,,,,,,,
고려아연(주),010130,2004/06,,,,,,,,,,,,
고려아연(주),010130,2005/06,,,,,,,,,,,,
(주)신성이엔지,011930,2006/06,,,,,,,,,,,,
에이치엘디앤아이한라(주),014790,2005/06,,,,,,,,,,,,
다올투자증권(주),030210,2005/06,,,,,,,,,,,,
에이치엘디앤아이한라(주),014790,2004/06,,,,,,,,,,,,
엔에이치투자증권(주),005940,2004/09,,,,,,,,,,,,
다올투자증권(주),030210,2006/06,,,,,,,,,,,,
